Cabang,Usia_Ulasan,Tanggal_Scrape,Teks_Ulasan,Teks_Bersih,Tanggal_Ulasan,Label_Prediksi
Gacoan Margo,4 bulan lalu,2026-04-17,"Baru pertamakali ke sini jadi ga tau ternyata ada flow pemesanan. Harusnya, awalnya dikasih beeper sama staff, tapi ga tau deh staffnya waktu itu lagi bengong kali ya jadi saya langsung antri di kasir. Ternyata sampai di kasir ditanyain …",baru pertamakali ke sini jadi tidak tahu ternyata ada flow pemesanan harusnya awalnya dikasih beeper sama staff tapi tidak tahu deh staffnya waktu itu lagi bengong kali ya jadi saya langsung antri di kasir ternyata sampai di kasir ditanyain,2025-12-17,Negatif
Gacoan Margo,sebulan lalu,2026-04-17,Ini dekat dengan Polres Depok ya sob... yaaaa udah tau ya makanan disini seperti apa. Murah meriah... dan enak kongkow2 bs lama ...,ini dekat dengan polres depok ya sob yaaaa sudah tahu ya makanan disini seperti apa murah meriah dan enak kongkow2 bisa lama,2026-03-17,Positif
Gacoan Margo,sebulan lalu,2026-04-17,"tempat kotor parah, tempat snack di bawah? gak ada yang notice sama sekali. helper juga gak bantu, kalo self service its okay banget tapii, masa iya bersihin meja bekas makan orang sendiri? think deh sop nya gimana? minta tollong di bersihin malah di arahin ambil tissue... banyak bgt yg harus di bahas",tempat kotor parah tempat snack di bawah tidak ada yang notice sama sekali helper juga tidak bantu kalau self service its okay sekali tapii masa iya bersihin meja bekas makan orang sendiri think deh sop nya gimana minta tollong di bersihin malah di arahin ambil tissue banyak sangat yang harus di bahas,2026-03-17,Negatif
Gacoan Margo,2 bulan lalu,2026-04-17,"baru kali ini makan mie gacoan seburuk ini , waktu pengiriman lama padahal garame , rasa hambar pedas tidak sesuai yg dipesan lv 4 kaya lv 1-2 mienya dingin , packingnya pake kertas , mending naikin harga drpada turunin kualitas",baru kali ini makan mie gacoan seburuk ini waktu pengiriman lama padahal garame rasa hambar pedas tidak sesuai yang dipesan lv 4 kaya lv 12 mienya dingin packingnya pakai kertas mending naikin harga drpada turunin kualitas,2026-02-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,"jujur pelayanan bagus ko, cuma ini udah hampir 1 jam'an tpi meja meja yang kotor ga ada yang bersihin sama sekali, tdi ada keluqrga yang komplain tpi sama karyawan cuma disuruh pindah meja, bukan meja nya yang dibersihin sama karyawan nya gatau ini karena karyawan nya lagi pada sibuk atau gimana",jujur pelayanan bagus ko cuma ini sudah hampir 1 jaman tapi meja meja yang kotor tidak ada yang bersihin sama sekali tadi ada keluqrga yang komplain tapi sama karyawan cuma disuruh pindah meja bukan meja nya yang dibersihin sama karyawan nya tidak tahu ini karena karyawan nya lagi pada sibuk atau gimana,2025-12-17,Negatif
Gacoan Margo,2 bulan lalu,2026-04-17,"pelayanan cepat, mie selalu enakk. kayanya ngga perlu diraguin lagi sii gacoan ini karena selalu ramai pembelinya mau online ataupun offline. harganya juga murah murah semua, maybe next time bisa kali tambahin varian menu baru di gacoan🫶 …",pelayanan cepat mie selalu enakk kayaknya tidak perlu diraguin lagi sii gacoan ini karena selalu ramai pembelinya mau online ataupun offline harganya juga murah murah semua maybe next time bisa kali tambahin varian menu baru di gacoan,2026-02-17,Positif
Gacoan Margo,4 bulan lalu,2026-04-17,Saya customer no meja 52. Pelayanan yg sangat buruk. Pesanan kami sudah 1 jam belum diantar. …,saya customer no meja 52 pelayanan yang sangat buruk pesanan kami sudah 1 jam belum diantar,2025-12-17,Negatif
Gacoan Margo,sebulan lalu,2026-04-17,"Ini baru kesini lagi setelah sekian lama. Nunggu somay doang mie nya udh jadi ngga di panggil, mie di diemin doang kena kipas. Ya keras, dingin. Tolong dong aduhh kaya baru buka sehari aja. Kecewa si",ini baru kesini lagi setelah sekian lama nunggu somay saja mie nya sudah jadi tidak di panggil mie di diemin saja kena kipas ya keras dingin tolong dong aduhh kaya baru buka sehari saja kecewa si,2026-03-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"Udah sering kesini, cuma baru ngasih ulasan skrg karena mager🤭😁 Gak perlu effort untuk dateng ke mie gacoan margonda karna lokasi nya deket banget sama rumah, jd tinggal jalan kaki doang😅 …",sudah sering kesini cuma baru kasih ulasan sekarang karena malas bergerak tidak perlu effort untuk datang ke mie gacoan margonda karena lokasi nya deket sekali sama rumah jadi tinggal jalan kaki saja,2025-11-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"adem bgt suasananya, pegawainya ramahhh bgtt makanannya jg gada yang gagal 💗💗💗 …",adem sangat suasananya pegawainya ramahhh bgtt makanannya juga tidak ada yang gagal,2026-01-17,Positif
Gacoan Margo,2 bulan lalu,2026-04-17,"ga sesuai ekspetasi masa iya lv 1 sepedes ituu, tolong dong briefing FL sm crew yg naro lv nya ga bener banget udah berapa kali kaya gini gada perkembangan. kaya ngasal bgt bikin makanan banyak minus mie banyak yang nyatu, lv1 kepdesan ga kaya biasa saya pesen. kacau",tidak sesuai ekspetasi masa iya lv 1 sepedes itu tolong dong briefing fl sama crew yang naro lv nya tidak benar sekali sudah berapa kali kaya gini tidak ada perkembangan kaya ngasal sangat bikin makanan banyak minus mie banyak yang nyatu lv1 kepdesan tidak kaya biasa saya pesan kacau,2026-02-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"Tempatnya luas, rasanyaa enak, pelayanannya cepet bangettt juga meski rame",tempatnya luas rasanyaa enak pelayanannya cepat bangettt juga meski ramai,2026-01-17,Positif
Gacoan Margo,sebulan lalu,2026-04-17,"gacoann knp ga pake piringg sih makan dine in, kemarin aku pesen hompimpa level 3 kenapa rasa cabainya udah asem dan ga layak dimakan please dengerin baca ini kenapa cabainya basii dan busuk",gacoann kenapa tidak pakai piringg sih makan dine in kemarin saya pesan hompimpa level 3 kenapa rasa cabainya sudah asem dan tidak layak dimakan please dengerin baca ini kenapa cabainya basii dan busuk,2026-03-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"pelayanannya ramah, makannnya enak",pelayanannya ramah makannnya enak,2025-11-17,Positif
Gacoan Margo,6 bulan lalu,2026-04-17,"Untuk makanan enak dan terjangkau.. Untuk sistemnya bagus udah ada alat yang bunyi jika orderan sudah selesai, namun tolong TIDAK USAH DIATUR POSISI TEMPAT DUDUK nya.. saya tidak suka makan …",untuk makanan enak dan terjangkau untuk sistemnya bagus sudah ada alat yang bunyi jika orderan sudah selesai namun tolong tidak usah diatur posisi tempat duduk nya saya tidak suka makan,2025-10-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"Tim servisnya manggilin pas pesanannya belum sampai, teman teman saya sampai menikmati banget. Tempatnya juga bersih banget",tim servisnya manggilin pas pesanannya belum sampai teman teman saya sampai menikmati sekali tempatnya juga bersih sekali,2025-11-17,Positif
Gacoan Margo,4 bulan lalu,2026-04-17,"Selalu kesini tiap kumpul sama tmen, selain harga nya yg murah, rasa mie nya juga enak, sekarang pesan gaperlu antri cukup scan qr di meja nya",selalu kesini tiap kumpul sama teman selain harga nya yang murah rasa mie nya juga enak sekarang pesan gaperlu antri cukup scan qr di meja nya,2025-12-17,Positif
Gacoan Margo,5 bulan lalu,2026-04-17,"Mesen 2 menu doang lama banget datangnya! Padahal lagi sepi😄, dan pegawai banyak! …",pesan 2 menu saja lama sekali datangnya padahal lagi sepi dan pegawai banyak,2025-11-17,Negatif
Gacoan Margo,10 bulan lalu,2026-04-17,"lebih sering beli mie gacoan via pesan antar ojek online dan baru pertama kalinya makan di tempat, beberapa catatan mie gacoan: …",lebih sering beli mie gacoan via pesan antar ojek online dan baru pertama kalinya makan di tempat beberapa catatan mie gacoan,2025-06-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,Sebel bgt sama kasirnya yg pakain kacamata nga hijab ( lupa nanya namanya) klo lg nga bisa ngelayanin kan bisa ya ngomong jgn  cuma diam aja.. Klo pelanggan nga tau di arahin jgn cuma diam di cuekin,kesal sangat sama kasirnya yang pakain kacamata nga hijab lupa tanya namanya kalau lagi nga bisa ngelayanin kan bisa ya bicara jangan cuma diam saja kalau pelanggan nga tahu di arahin jangan cuma diam di cuekin,2025-12-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"Makanannya seperti biasa selalu enaakk, pelayanannya cepet, jadi nunggunya ga lama. Good",makanannya seperti biasa selalu enaakk pelayanannya cepat jadi nunggunya tidak lama good,2025-11-17,Positif
Gacoan Margo,2 bulan lalu,2026-04-17,"makanan sudah dtg tapi minumannya belum, emang kalian pikir kami ular ? lama banget minumannya ga dibuat buat !",makanan sudah datang tapi minumannya belum memang kalian pikir kami ular lama sekali minumannya tidak dibuat buat,2026-02-17,Negatif
Gacoan Margo,6 bulan lalu,2026-04-17,"Tempatnya nyaman seperti gacoan di tempat lainya, tp sayang di sini kamar mandinya diatas jadi terasa jauh harus naik dulu. …",tempatnya nyaman seperti gacoan di tempat lainya tapi sayang di sini kamar mandinya diatas jadi terasa jauh harus naik dulu,2025-10-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"Pelayanan bagus dan sangat baik, lingkungan bersih dan nyaman! Makanan datangnyaa sangat cepat! Terima kasih",pelayanan bagus dan sangat baik lingkungan bersih dan nyaman makanan datangnyaa sangat cepat terima kasih,2026-01-17,Positif
Gacoan Margo,Diedit 3 bulan lalu,2026-04-17,Pelayanannya ramah banget sangat membantu pada saat mencari meja. Rasa makanannya juga konsisten enak.,pelayanannya ramah sekali sangat membantu pada saat mencari meja rasa makanannya juga konsisten enak,2026-01-17,Positif
Gacoan Margo,8 bulan lalu,2026-04-17,"tempatnya bagus, nyaman, trs ga panas karna ada kipas dan di tutupin juga, terus minta request bawangnya gausa di pake ternyata gabisa (protokol), tapi tetep baik jadinya di kasih bawangnya di pisah aja, mi nya enak es nya juga seger",tempatnya bagus nyaman terus tidak panas karena ada kipas dan di tutupin juga terus minta request bawangnya gausa di pakai ternyata tidak bisa protokol tapi tetap baik jadinya di kasih bawangnya di pisah saja mi nya enak es nya juga seger,2025-08-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"Pertama kali datang ke Mie Gacoan Margonda. Storenya rapi, pelayanannya cepat, dan pelayannya ramah. Terima kasih. Suka sekali dengan store di sini dan tentu aja suka sama rasa mienya 🥰 …",pertama kali datang ke mie gacoan margonda storenya rapi pelayanannya cepat dan pelayannya ramah terima kasih suka sekali dengan store di sini dan tentu saja suka sama rasa mienya,2026-01-17,Positif
Gacoan Margo,7 bulan lalu,2026-04-17,"Lagi pengen mie gacoan tapi ga mau makan di sana. Jadi, saya beli untuk take away. Alhamdulillah cepet prosesnya.",lagi ingin mie gacoan tapi tidak mau makan di sana jadi saya beli untuk take away alhamdulillah cepat prosesnya,2025-09-17,Negatif
Gacoan Margo,sebulan lalu,2026-04-17,"Mie udah dingin di kasih yang buat take way. Parahhhh udah beli banyak dingin semua sambal asemmm..gacoann margonda separah ini emng,, manager nya  minta tolong dong kasih tau buat yang kerja disitu . Parahh gacoan margonda gak profesional …",mie sudah dingin di kasih yang buat take way parahhhh sudah beli banyak dingin semua sambal asemmmgacoann margonda separah ini memang manager nya minta tolong dong kasih tahu buat yang kerja disitu parahh gacoan margonda tidak profesional,2026-03-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,Pelayanan ramah dan sopan. Tempat nyaman. Pelayanan cepat. Mienya enak seperti biasa. Namun untuk mie masih ada yang ngegumpal. Dan rasa tehnya juga agak beda.,pelayanan ramah dan sopan tempat nyaman pelayanan cepat mienya enak seperti biasa namun untuk mie masih ada yang ngegumpal dan rasa tehnya juga agak beda,2025-11-17,Positif
Gacoan Margo,4 bulan lalu,2026-04-17,"makanan enak , pelayanan ramah dan sesuai",makanan enak pelayanan ramah dan sesuai,2025-12-17,Positif
Gacoan Margo,sebulan lalu,2026-04-17,"Pake sistem QRis dan pembayaran e-wallet bukan makin cepat malah yg bayar cash yg duluan dtg makanannya,, mana yg di siapkan minumannya dulu tapi gak lgsung di hidangkan... #makin aneh nih sistem gerai resto nya.",pakai sistem qris dan pembayaran ewallet bukan makin cepat malah yang bayar cash yang duluan datang makanannya mana yang di siapkan minumannya dulu tapi tidak langsung di hidangkan makin aneh nih sistem gerai resto nya,2026-03-17,Negatif
Gacoan Margo,7 bulan lalu,2026-04-17,"ka yg bener aja masa makan begini dikasihnya, sekiranya udah ga fresh gausah dijual dong. berjamur atau tinta nih masa mau ngeracunin org. mana setiap beli pesanan ngaur ngidul gapernah bener beli level 4 dikasih level 3",ka yang benar saja masa makan begini dikasihnya sekiranya sudah tidak fresh tidak usah dijual dong berjamur atau tinta nih masa mau ngeracunin orang mana setiap beli pesanan ngaur ngidul tidak pernah benar beli level 4 dikasih level 3,2025-09-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,"ga ngantriii, ga lama, nyamann sekarang banyak kipas nya",tidak ngantriii tidak lama nyamann sekarang banyak kipas nya,2025-12-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,SERIUSSS INI GACOAN MARGONDA RASANYA CUMA CABE????? UDAH 2X PESEN ONLINE MIE NYA KEMATENGAN RASANYA HAMBAR . GAENAK!!,seriusss ini gacoan margonda rasanya cuma cabe sudah 2x pesan online mie nya kematengan rasanya hambar tidak enak,2025-11-17,Negatif
Gacoan Margo,6 bulan lalu,2026-04-17,"makanan nya enak banget ! tempat nya enak dan adem banget, pelayanannya juga bagus, best deh pokonyaa",makanan nya enak sekali tempat nya enak dan adem sekali pelayanannya juga bagus best deh pokonyaa,2025-10-17,Positif
Gacoan Margo,6 bulan lalu,2026-04-17,"Pesen online tiba mie nya dingin udah kaga enak, udang keju dingin juga Tolong perbaiki lagi jangan bikin kecewa",pesan online tiba mie nya dingin sudah kaga enak udang keju dingin juga tolong perbaiki lagi jangan bikin kecewa,2025-10-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,"Pelayanan oke banget, tempat nya pewe, kids friendly..",pelayanan oke sekali tempat nya pewe kids friendly,2025-12-17,Positif
Gacoan Margo,8 bulan lalu,2026-04-17,"komputer kasir nya tiba tiba error karna problem yg ga diketahui, sudah dipanggil teknisinya malah ga bs berbuat apa apa.. akhirnya manual yg memakan waktu hingga antrian membludak... untungnya masih jam siang, kalau malam  kacau sih ramainya apalagi di malam minggu.",komputer kasir nya tiba tiba error karena problem yang tidak diketahui sudah dipanggil teknisinya malah tidak bisa berbuat apa apa akhirnya manual yang memakan waktu hingga antrian membludak untungnya masih jam siang kalau malam kacau sih ramainya apalagi di malam minggu,2025-08-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"pelayanan nyaaa okeee bangett ramah ramah Tempat nya rapihhh bersih, pesanan nya jg ga nunggu lamaa udah jdii, thx gacoan margonda depok",pelayanan nyaaa okeee sangat ramah ramah tempat nya rapihhh bersih pesanan nya juga tidak nunggu lamaa sudah jdii terima kasih gacoan margonda depok,2025-11-17,Positif
Gacoan Margo,2 bulan lalu,2026-04-17,"gimana ya ini pelayanan nya? meja sudah 1 jam'an lebih malah dibiarkan, mana sekarang sudah self service, pas dipanggil karyawan nya nyebut nama pelan bener asli, cobalah jadi mie gacoan yang dulu, pentingkan pembeli, sampe saya liat di area depan musholla banyak janitor ngganggur",gimana ya ini pelayanan nya meja sudah 1 jaman lebih malah dibiarkan mana sekarang sudah self service pas dipanggil karyawan nya nyebut nama pelan benar asli cobalah jadi mie gacoan yang dulu pentingkan pembeli sampai saya liat di area depan musholla banyak janitor ngganggur,2026-02-17,Negatif
Gacoan Margo,2 bulan lalu,2026-04-17,"Mantap untuk di depok ada mie gacoan 24jam membantu sekali, rasanya juga enak, top markotop good job 👍 …",mantap untuk di depok ada mie gacoan 24jam membantu sekali rasanya juga enak top markotop good job,2026-02-17,Positif
Gacoan Margo,11 bulan lalu,2026-04-17,"Beberapa minggu lalu saya makan di lt. 2 jam 12 siang an, buset panasnya kek dipanggang🙂 kipas ga diputer, jadi yg adem yg deket kipas doang👎🏻 mienya lumayan lama disajikan, sampe kelaperan nunggunya😵‍💫 rasanya ya sama, …",beberapa minggu lalu saya makan di lt 2 jam 12 siang an buset panasnya kek dipanggang kipas tidak diputer jadi yang adem yang deket kipas saja mienya lumayan lama disajikan sampai kelaparan nunggunya rasanya ya sama,2025-05-17,Negatif
